"SchoolName","SchoolSystem","SchoolGrade","SchoolGradeLetter","SchoolGradeNumber","GrowtStatus","GradeLevel","FreeReduced","Latitude","Longitude"
"North Graham Elementary","Alamance-Burlington Schools","D - 53","D","53","Met","46.4","90","36.07706644","-79.37752761"
"Pleasant Grove Elementary","Alamance-Burlington Schools","C - 60","C","60","Exceeded","53.5","84","36.21739960","-79.30560303"
"R Homer Andrews Elementary","Alamance-Burlington Schools","D - 42","D","42","NotMet","37.4","95","36.09441376","-79.38269043"
"Ray Street Academy","Alamance-Burlington Schools","NA - NA","N","","NA","10.4","90","36.06147300","-79.39704100"
"South Graham Elementary","Alamance-Burlington Schools","D - 45","D","45","Met","36.2","82","36.05249405","-79.39332581"
"South Mebane Elementary","Alamance-Burlington Schools","B - 72","B","72","Exceeded","67.0","43","36.08994573","-79.27265257"
"Southern High","Alamance-Burlington Schools","C - 64","C","64","NotMet","51.5","37","36.00368500","-79.40663147"
"Southern Middle","Alamance-Burlington Schools","C - 60","C","60","Met","54.6","40","36.00345053","-79.40973423"
"Southern Middle","Moore County Schools","D - 50","D","50","NotMet","47.5","59","36.00345053","-79.40973423"
"Southern Middle","Person County Schools","D - 50","D","50","NotMet","47.7","66","36.00345053","-79.40973423"
"Sylvan Elementary","Alamance-Burlington Schools","C - 58","C","58","Met","53.6","61","35.88022600","-79.43762900"
"Turrentine Middle","Alamance-Burlington Schools","C - 57","C","57","Exceeded","49.7","66","36.09043100","-79.46307300"
"Walter M Williams High","Alamance-Burlington Schools","C - 69","C","69","Exceeded","51.1","53","36.08847800","-79.45433000"
"Western Alamance High","Alamance-Burlington Schools","C - 63","C","63","NotMet","51.1","26","36.15285110","-79.49657440"
"Western Middle","Alamance-Burlington Schools","C - 66","C","66","Met","61.2","33","36.16202927","-79.50206757"
"Woodlawn Middle","Alamance-Burlington Schools","B - 70","B","70","Exceeded","65.1","45","36.11440279","-79.30497587"
"River Mill Academy","Charter Schools","B - 72","B","72","Met","68.6","24","36.04377747","-79.39378357"
"Clover Garden","Charter Schools","B - 71","B","71","Met","65.7","33","36.18719864","-79.46985626"
"The Hawbridge School","Charter Schools","B - 81","B","81","Met","80.5","2","35.94662476","-79.31838226"
"Alexander Central High","Alexander County Schools","B - 76","B","76","Exceeded","61.4","46","35.91609573","-81.18909454"
"Bethlehem Elementary","Alexander County Schools","C - 66","C","66","Met","64.8","40","35.83692551","-81.31214905"
"East Alexander Middle","Alexander County Schools","C - 60","C","60","Met","54.3","64","35.93207169","-81.12237549"
"Ellendale Elementary","Alexander County Schools","C - 67","C","67","NotMet","67.1","57","35.92804718","-81.27897644"
"Hiddenite Elementary","Alexander County Schools","C - 62","C","62","Met","58.3","69","35.90700900","-81.08918700"
"Stony Point Elementary","Alexander County Schools","C - 63","C","63","Met","59.9","66","35.86976624","-81.04784393"
"Sugar Loaf Elementary","Alexander County Schools","B - 74","B","74","Met","71.6","52","35.92245102","-81.22122192"
"Taylorsville Elementary","Alexander County Schools","C - 57","C","57","NotMet","56.8","78","35.92026852","-81.18232436"
"West Alexander Middle","Alexander County Schools","C - 65","C","65","Exceeded","58.7","44","35.87210083","-81.31343079"
"Wittenburg Elementary","Alexander County Schools","C - 63","C","63","Met","60.0","59","35.82859802","-81.24192810"
"Alleghany High","Alleghany County Schools","B - 71","B","71","Met","59.2","34","36.51379013","-81.12286377"
"Glade Creek Elementary","Alleghany County Schools","B - 70","B","70","Met","66.4","77","36.50082700","-80.97921700"
"Piney Creek Elementary","Alleghany County Schools","B - 80","B","80","Met","79.3","48","36.54735500","-81.30408400"
"Sparta Elementary","Alleghany County Schools","C - 64","C","64","Exceeded","58.6","83","36.51010132","-81.12545776"
"Anson Co. Early College High","Anson County Schools","B - 70","B","70","Met","56.4","62","34.99991477","-80.21188304"
"Anson Academy","Anson County Schools","NA - NA","N","","NA","<5","75","35.23410849","-80.42837955"
"Anson High School","Anson County Schools","D - 50","D","50","NotMet","18.5","75","34.97742081","-80.10313416"
"Ansonville Elementary","Anson County Schools","B - 70","B","70","Exceeded","65.2","66","35.10540771","-80.10589600"
"Anson Middle","Anson County Schools","D - 42","D","42","NotMet","37.2","80","34.98961258","-80.08820343"
"Wadesboro Primary","Anson County Schools","F - 35","F","35","NotMet","27.7","82","34.94198227","-80.05770111"
"Lilesville Elementary","Anson County Schools","D - 43","D","43","Met","34.4","77","34.96478654","-79.98977400"
"Morven Elementary","Anson County Schools","D - 45","D","45","Met","35.1","93","34.88082123","-80.00518799"
"Peachland-Polkton Elem","Anson County Schools","C - 59","C","59","Met","55.2","65","34.99442291","-80.23014832"
"Wadesboro Elementary","Anson County Schools","F - 36","F","36","Met","26.3","92","34.96192932","-80.07920074"
"Anson New Tech High","Anson County Schools","D - 46","D","46","NotMet","21.4","72","34.97742081","-80.10313416"
"Ashe County High","Ashe County Schools","C - 68","C","68","NotMet","58.8","56","36.42065811","-81.47225952"
"Ashe County Middle","Ashe County Schools","C - 66","C","66","Met","63.7","80","36.46369815","-81.51006147"
"Blue Ridge Elementary","Ashe County Schools","C - 65","C","65","Exceeded","58.3","71","36.46002486","-81.53259337"
"Mountain View Elementary","Ashe County Schools","B - 72","B","72","Exceeded","67.1","68","36.43519230","-81.43984728"
"Mountain View Elementary","Catawba County Schools","B - 74","B","74","Exceeded","70.1","43","36.43519230","-81.43984728"
"Mountain View Elementary","Wilkes County Schools","C - 66","C","66","Exceeded","61.5","53","36.43519230","-81.43984728"
"Westwood Elementary","Ashe County Schools","B - 72","B","72","Met","69.1","60","36.42065811","-81.47225952"
"Avery County High","Avery County Schools","B - 70","B","70","NotMet","51.2","54","36.06900406","-81.91894531"
"Banner Elk Elementary","Avery County Schools","C - 64","C","64","Met","60.0","49","36.14834681","-81.85717888"
"Cranberry Middle","Avery County Schools","B - 80","B","80","Exceeded","77.0","67","35.53934479","-79.18541718"
"Crossnore Elementary","Avery County Schools","B - 83","B","83","Exceeded","80.4","52","36.02575645","-81.92405909"
"Avery Middle","Avery County Schools","C - 64","C","64","Exceeded","58.0","62","36.06703568","-81.91600037"
"Freedom Trail Elementary","Avery County Schools","C - 68","C","68","Exceeded","62.9","76","36.14533268","-81.96592838"
"Newland Elementary","Avery County Schools","C - 61","C","61","Met","55.8","72","36.08245850","-81.92253876"
"Riverside Elementary","Avery County Schools","C - 61","C","61","Met","55.8","69","35.99006271","-82.01944733"
"Blue Ridge Academy","Avery County Schools","NA - NA","N","","NA","11.8","76","36.06788658","-81.91616736"
"Avery High STEM Academy","Avery County Schools","B - 80","B","80","NotMet","78.8","40","36.06900406","-81.91894531"
"Avery High Viking Academy","Avery County Schools","F - 32","F","32","NotMet","23.0","60","36.06900406","-81.91894531"
"Grandfather Academy","Charter Schools","F - 23","F","23","NA","25.6","100","36.17497635","-81.84248352"
"Williams Academy","Charter Schools","D - 46","D","46","Met","34.0","93","36.02470016","-81.92810059"
"Eastern Elementary","Beaufort County Schools","I - NA","I","","NA","NA","80","35.54490745","-77.03638293"
"Eastern Elementary","Pitt County Schools","C - 67","C","67","Exceeded","61.5","67","35.54490745","-77.03638293"
"Bath Elementary","Beaufort County Schools","C - 65","C","65","NotMet","66.8","40","35.47524445","-76.81138985"
"B C Ed Tech Center","Beaufort County Schools","NA - NA","N","","NA","<5","100","35.55155665","-77.05631912"
"Beaufort Co Early College High","Beaufort County Schools","A - 93","A","93","Met","94.0","49","35.53228833","-76.96688689"
"Chocowinity Middle","Beaufort County Schools","C - 59","C","59","NotMet","57.5","73","35.50940171","-77.10259862"
"Chocowinity Primary","Beaufort County Schools","B - 81","B","81","Met","81.6","78","35.49890690","-77.09309153"
"John C Tayloe Elementary","Beaufort County Schools","C - 62","C","62","Exceeded","55.7","76","35.55804826","-77.06339814"
"John Small Elementary","Beaufort County Schools","D - 49","D","49","NotMet","46.7","70","35.53934479","-79.18541718"
"Northeast Elementary","Beaufort County Schools","C - 56","C","56","Exceeded","48.8","73","35.53974889","-76.70980588"
"Northeast Elementary","Lenoir County Public Schools","F - 34","F","34","NotMet","25.7","85","35.53974889","-76.70980588"
"Northeast Elementary","Wayne County Public Schools","C - 57","C","57","NotMet","54.9","57","35.53974889","-76.70980588"
"Northside High","Beaufort County Schools","C - 62","C","62","NotMet","47.2","52","35.53621575","-76.72789469"
"Northside High","Onslow County Schools","B - 75","B","75","Exceeded","60.1","41","35.53621575","-76.72789469"
"P S Jones Middle","Beaufort County Schools","D - 54","D","54","Exceeded","44.7","71","35.53934479","-79.18541718"
"Southside High","Beaufort County Schools","C - 62","C","62","Met","42.1","71","35.44556046","-77.08185577"
"S W Snowden Elementary","Beaufort County Schools","F - 38","F","38","Met","29.4","99","35.30649729","-76.79155022"
"Washington High","Beaufort County Schools","C - 57","C","57","NotMet","39.1","58","35.55585489","-77.01276138"
"Washington Montessori","Charter Schools","C - 65","C","65","Met","61.9","0","35.54078221","-76.97795771"
"Bertie Early College High","Bertie County Schools","B - 80","B","80","Met","76.4","59","36.03403911","-77.01312281"
"Bertie High","Bertie County Schools","D - 47","D","47","Met","21.3","74","36.05154522","-76.97089948"
"Bertie Middle","Bertie County Schools","D - 44","D","44","Met","36.0","79","36.04841374","-76.96921706"
"Aulander Elementary","Bertie County Schools","D - 47","D","47","Met","38.6","93","36.21464431","-77.10533313"
"West Bertie Elementary","Bertie County Schools","D - 46","D","46","Met","38.0","96","36.15794711","-77.21574493"
"Colerain Elementary","Bertie County Schools","D - 44","D","44","Met","37.4","98","36.20085038","-76.77103333"
"Windsor Elementary","Bertie County Schools","D - 50","D","50","Met","43.6","93","35.98780441","-76.92049408"
"Bertie STEM High","Bertie County Schools","A - 86","A","86","Met","78.7","53","36.05154522","-76.97089948"
"Heritage Collegiate Leadership Academy","Charter Schools","F - 38","F","38","NotMet","31.0","88","35.97985715","-76.95423961"
"B T Washington Primary","Bladen County Schools","D - 45","D","45","NotMet","40.1","83","34.50072415","-78.66635531"
"Bladenboro Middle","Bladen County Schools","D - 43","D","43","NotMet","36.7","53","34.53121014","-78.79751869"
"Bladenboro Primary","Bladen County Schools","C - 60","C","60","Met","57.5","68","34.61205460","-78.98581445"
"Bladen Lakes Primary","Bladen County Schools","D - 54","D","54","Met","49.0","62","34.70956497","-78.59536797"
"Clarkton School of Discovery","Bladen County Schools","C - 58","C","58","NotMet","57.0","38","34.49414738","-78.65235284"
"Dublin Primary","Bladen County Schools","C - 66","C","66","Met","62.7","62","34.65494379","-78.72017317"
"East Arcadia Elementary","Bladen County Schools","D - 43","D","43","Met","33.2","57","34.42462586","-78.34961995"
"East Bladen High","Bladen County Schools","D - 51","D","51","NotMet","31.8","46","34.58104759","-78.53065901"
"Elizabethtown Middle","Bladen County Schools","F - 31","F","31","NotMet","26.2","65","34.61254947","-78.61430302"
"Elizabethtown Primary","Bladen County Schools","D - 51","D","51","Met","43.4","80","34.61254947","-78.61430302"
"Plain View Primary","Bladen County Schools","D - 48","D","48","NotMet","43.0","78","34.73940253","-78.84132318"
"Tar Heel Middle","Bladen County Schools","D - 45","D","45","Met","37.6","55","34.74391937","-78.80639648"
"West Bladen High","Bladen County Schools","C - 55","C","55","NotMet","35.8","41","34.63835701","-78.73888761"
"Paul R Brown Leadership Academy","Charter Schools","F - 31","F","31","Met","17.8","99","34.67866516","-78.55782318"
"Belville Elementary","Brunswick County Schools","C - 61","C","61","NotMet","59.3","91","34.67866516","-78.55782318"
"Bolivia Elementary","Brunswick County Schools","C - 59","C","59","NotMet","60.2","100","34.07007980","-78.14485931"
"Brunswick County Early College","Brunswick County Schools","A - 95","A","95","Exceeded","94.1","42","34.03814502","-78.22989553"
"Brunswick County Academy","Brunswick County Schools","NA - NA","N","","NA","10.3","100","34.03822708","-78.23850250"
"Cedar Grove Middle","Brunswick County Schools","D - 54","D","54","Met","48.6","100","33.96607208","-78.26799011"
"Jessie Mae Monroe Elementary","Brunswick County Schools","D - 46","D","46","NotMet","42.3","100","33.94743347","-78.54748535"
"Leland Middle","Brunswick County Schools","C - 55","C","55","Met","48.9","100","34.23540800","-78.03379000"
"Lincoln Elementary","Brunswick County Schools","C - 58","C","58","Exceeded","50.0","100","34.26123810","-78.04167175"
"Lincoln Elementary","Rockingham County Schools","C - 58","C","58","Exceeded","50.6","64","34.26123810","-78.04167175"
"North Brunswick High","Brunswick County Schools","C - 63","C","63","Met","44.0","59","34.24069595","-78.02338409"
"Shallotte Middle","Brunswick County Schools","C - 60","C","60","Met","56.5","100","33.96372900","-78.38837400"
"South Brunswick High","Brunswick County Schools","B - 74","B","74","Exceeded","60.5","47","35.53934479","-79.18541718"
"South Brunswick Middle","Brunswick County Schools","C - 61","C","61","Met","55.2","85","35.53934479","-79.18541718"
"Southport Elementary","Brunswick County Schools","C - 58","C","58","NotMet","57.6","90","33.92516708","-78.03154755"
"Supply Elementary","Brunswick County Schools","D - 47","D","47","NotMet","44.3","100","34.02439100","-78.25886500"
"Town Creek Elementary","Brunswick County Schools","C - 55","C","55","NotMet","53.2","95","34.13965200","-78.08702000"
"Union Elementary","Brunswick County Schools","B - 75","B","75","Exceeded","71.8","99","33.95793533","-78.45925903"
"Union Elementary","Cleveland County Schools","C - 62","C","62","Met","56.5","72","33.95793533","-78.45925903"
"Union Elementary","Lincoln County Schools","B - 79","B","79","Exceeded","76.5","51","33.95793533","-78.45925903"
"Union Elementary","Robeson County Schools","C - 57","C","57","Exceeded","48.2","83","33.95793533","-78.45925903"
"Union Elementary","Sampson County Schools","B - 74","B","74","Exceeded","71.3","91","33.95793533","-78.45925903"
"Union Elementary","Union County Public Schools","B - 70","B","70","Met","67.1","62","33.95793533","-78.45925903"
"Virginia Williamson Elem","Brunswick County Schools","C - 63","C","63","Met","58.6","100","33.99412537","-78.23662567"
"Waccamaw","Brunswick County Schools","C - 64","C","64","Exceeded","58.7","100","34.06426102","-78.51679869"
"West Brunswick High","Brunswick County Schools","B - 74","B","74","Exceeded","59.8","54","33.98128128","-78.40981293"
"Charter Day School","Charter Schools","B - 70","B","70","NotMet","71.3","36","34.28311788","-78.13701734"
"South Brunswick Charter School","Charter Schools","I - NA","I","","NA","NA","50","33.92913818","-78.06934357"
"Community High School","Buncombe County Schools","NA - NA","N","","NA","14.3","87","35.60304642","-82.40444183"
"Reynolds High","Buncombe County Schools","B - 77","B","77","Met","67.0","41","35.55100076","-82.47486547"
"Reynolds Middle","Buncombe County Schools","C - 66","C","66","Exceeded","60.2","60","35.54748100","-82.47615800"
"Barnardsville Elementary","Buncombe County Schools","C - 67","C","67","Met","64.6","70","35.77506638","-82.45983887"
"Black Mountain Elementary","Buncombe County Schools","C - 62","C","62","NotMet","62.9","49","35.62036000","-82.31463902"
"Black Mountain Primary","Buncombe County Schools","B - 70","B","70","Met","66.8","54","35.62065100","-82.31758800"
"Early College","Buncombe County Schools","A - 91","A","91","Met","90.7","46","35.56778300","-82.55751800"
"Middle College","Buncombe County Schools","B - 74","B","74","NA","33.3","49","35.56778300","-82.55751800"
"Candler Elementary","Buncombe County Schools","C - 59","C","59","NotMet","56.5","65","35.53819275","-82.70090485"
"Cane Creek Middle","Buncombe County Schools","B - 77","B","77","Exceeded","74.6","40","35.48290484","-82.43647031"
"Bell Elementary","Buncombe County Schools","B - 73","B","73","Met","71.6","58","35.59029579","-82.49076225"
"Owen High","Buncombe County Schools","C - 67","C","67","NotMet","54.9","46","35.61837387","-82.37337494"
"Owen Middle","Buncombe County Schools","C - 60","C","60","Met","55.0","64","35.60603333","-82.37410736"
"Erwin High","Buncombe County Schools","C - 62","C","62","Met","46.0","62","35.61835000","-82.62733400"
"Erwin Middle","Buncombe County Schools","D - 52","D","52","NotMet","49.1","70","35.61897464","-82.62239434"
"Erwin Middle","Rowan-Salisbury Schools","D - 42","D","42","NotMet","39.9","51","35.61897464","-82.62239434"
"Emma Elementary","Buncombe County Schools","D - 51","D","51","Exceeded","42.3","87","35.59765309","-82.59433039"
"Enka High","Buncombe County Schools","C - 63","C","63","NotMet","53.7","52","35.53015800","-82.66473300"
"Fairview Elementary","Buncombe County Schools","B - 70","B","70","Met","66.6","47","35.52311707","-82.41090393"
"Fairview Elementary","Guilford County Schools","D - 42","D","42","Exceeded","29.6","100","35.52311707","-82.41090393"
"Fairview Elementary","Jackson County Schools","C - 66","C","66","Exceeded","60.9","59","35.52311707","-82.41090393"
"Fairview Elementary","Nash-Rocky Mount Schools","I - NA","I","","NA","NA","100","35.52311707","-82.41090393"
"Fairview Elementary","Union County Public Schools","B - 75","B","75","Met","72.8","30","35.52311707","-82.41090393"
"Glen Arden Elementary","Buncombe County Schools","B - 76","B","76","Met","76.3","34","35.46961500","-82.49665800"
"Haw Creek Elementary","Buncombe County Schools","B - 70","B","70","Met","67.2","50","35.59500122","-82.50544739"
"Hominy Valley Elementary","Buncombe County Schools","B - 73","B","73","Met","70.1","46","35.53494600","-82.66316200"
"Johnston Elementary","Buncombe County Schools","D - 46","D","46","Met","38.3","98","35.58745265","-82.61998437"
"Leicester Elementary","Buncombe County Schools","C - 61","C","61","Met","57.1","69","35.65877151","-82.70667267"
"North Buncombe Elementary","Buncombe County Schools","C - 65","C","65","Met","59.4","60","35.74546051","-82.56866455"
"North Buncombe High","Buncombe County Schools","B - 75","B","75","Met","62.3","39","35.73894882","-82.55749512"
"North Buncombe Middle","Buncombe County Schools","C - 66","C","66","NotMet","65.6","50","35.71588621","-82.55997933"
"North Windy Ridge Intermediate","Buncombe County Schools","C - 67","C","67","Met","63.2","54","35.72555161","-82.54848480"
"Oakley Elementary","Buncombe County Schools","C - 56","C","56","Met","49.9","77","35.56348400","-82.51234400"
"Pisgah Elementary","Buncombe County Schools","B - 80","B","80","Met","80.2","68","35.50355911","-82.73101044"
"Enka Middle","Buncombe County Schools","C - 58","C","58","NotMet","57.7","64","35.55237961","-82.66469574"
"Sand Hill-Venable Elem","Buncombe County Schools","C - 58","C","58","NotMet","57.4","73","35.55507705","-82.63919704"
"Avery's Creek Elementary","Buncombe County Schools","C - 61","C","61","Met","56.8","65","35.47557168","-82.57970363"
"Williams Elementary","Buncombe County Schools","C - 66","C","66","Met","63.0","73","35.60456467","-82.40236664"
"Roberson High","Buncombe County Schools","B - 73","B","73","NotMet","66.2","38","35.48690400","-82.53464500"
"Valley Springs Middle","Buncombe County Schools","B - 74","B","74","Exceeded","68.1","51","35.48146851","-82.54228413"
"Estes Elementary","Buncombe County Schools","B - 71","B","71","Met","70.7","52","35.48585800","-82.54046600"
"Weaverville Elementary","Buncombe County Schools","B - 70","B","70","Met","68.6","49","35.68965149","-82.56304932"
"Weaverville Primary","Buncombe County Schools","I - NA","I","","NA","NA","46","35.69497299","-82.56094360"
"West Buncombe Elementary","Buncombe County Schools","B - 71","B","71","Exceeded","67.0","68","35.61919000","-82.62128400"
"Woodfin Elementary","Buncombe County Schools","C - 68","C","68","Met","64.5","92","35.63250700","-82.58539500"
"Koontz Intermediate","Buncombe County Schools","C - 63","C","63","NotMet","62.5","49","35.48472673","-82.53867790"
"Eblen Intermediate","Buncombe County Schools","C - 56","C","56","Met","52.0","75","35.61888800","-82.61913200"
"Nesbitt Discovery Academy","Buncombe County Schools","A - 94","A","94","Met",">95","28","35.60681500","-82.58369400"
"Asheville High","Asheville City Schools","C - 66","C","66","NotMet","57.0","44","35.57239500","-82.55238300"
"Hall Fletcher Elementary","Asheville City Schools","D - 51","D","51","NotMet","46.0","78","35.57406600","-82.57448500"
"Isaac Dickson Elementary","Asheville City Schools","B - 75","B","75","Met","73.4","41","35.59796500","-82.56175200"
"Claxton Elementary","Asheville City Schools","C - 64","C","64","NotMet","67.0","42","35.60791300","-82.55287100"
"Claxton Elementary","Guilford County Schools","B - 73","B","73","Exceeded","69.3","31","35.60791300","-82.55287100"
"Ira B Jones Elementary","Asheville City Schools","B - 71","B","71","Met","68.0","40","35.63067245","-82.54977417"
"Asheville Middle","Asheville City Schools","C - 62","C","62","NotMet","62.7","52","35.58636475","-82.56187439"
"Vance Elementary","Asheville City Schools","B - 75","B","75","Met","75.2","49","35.57699900","-82.60063100"
"Vance Elementary","Wake County Schools","C - 60","C","60","NotMet","58.8","42","35.57699900","-82.60063100"
"School of Inquiry and Life Sciences","Asheville City Schools","A - 87","A","87","Exceeded","81.6","26","35.57239500","-82.55238300"
"Evergreen Community Charter","Charter Schools","B - 71","B","71","NotMet","72.4","39","35.60322500","-82.49853500"
"ArtSpace Charter School","Charter Schools","B - 73","B","73","Met","70.1","49","35.59466171","-82.42889404"
"Invest Collegiate - Imagine","Charter Schools","B - 72","B","72","NotMet","75.6","8","35.52594700","-82.60617000"
"The Franklin School of Innovation","Charter Schools","C - 69","C","69","NotMet","69.1","33","35.55392075","-82.61814880"
"Francine Delany New School","Charter Schools","B - 77","B","77","Exceeded","74.7","48","35.57354355","-82.59435272"
"Chesterfield Elementary","Burke County Schools","C - 57","C","57","Met","52.9","88","35.81056213","-81.66420746"
"Hallyburton Academy","Burke County Schools","NA - NA","N","","NA","19.2","89","35.75600052","-81.60431671"
"Burke Middle College","Burke County Schools","A - 99","A","99","NA","NA","39","35.72529984","-81.68273926"
"Drexel Elementary","Burke County Schools","C - 63","C","63","Exceeded","56.8","67","35.74967575","-81.60868835"
"East Burke High","Burke County Schools","C - 64","C","64","NotMet","53.5","56","35.72055817","-81.48190308"
"East Burke Middle","Burke County Schools","B - 70","B","70","Met","67.4","59","35.71586990","-81.46692657"
"Forest Hill Elementary","Burke County Schools","C - 68","C","68","Met","64.8","65","35.73225021","-81.70258331"
"Freedom High","Burke County Schools","C - 68","C","68","Met","58.3","58","35.74385829","-81.72240458"
"George Hildebrand Elementary","Burke County Schools","C - 63","C","63","Met","58.3","70","35.66469574","-81.53216553"
"Glen Alpine Elementary","Burke County Schools","B - 70","B","70","Met","67.0","73","35.72393036","-81.77876282"
"Heritage Middle","Burke County Schools","B - 71","B","71","Exceeded","66.0","54","35.75919342","-81.57875824"
"Heritage Middle","Wake County Schools","B - 83","B","83","Exceeded","81.5","17","35.75919342","-81.57875824"
"Hildebran Elementary","Burke County Schools","B - 73","B","73","Met","70.2","65","35.71380615","-81.42627716"
"Mountain Crest Elementary","Burke County Schools","C - 57","C","57","Exceeded","48.2","98","35.75379562","-81.67335510"
"Icard Elementary","Burke County Schools","C - 69","C","69","Exceeded","63.6","70","35.73029327","-81.46838379"
"Jimmy C Draughn High School","Burke County Schools","B - 73","B","73","NotMet","65.0","47","35.76710510","-81.54399872"
"Liberty Middle","Burke County Schools","C - 66","C","66","Met","65.1","50","35.70933558","-81.67174503"
"North Liberty","Burke County Schools","NA - NA","N","","NA","48.0","69","35.70956692","-81.67176984"
"Mull Elementary","Burke County Schools","C - 67","C","67","Exceeded","61.0","67","35.70484500","-81.66053000"
"Oak Hill Elementary","Burke County Schools","C - 65","C","65","Exceeded","58.2","59","35.77602386","-81.75662231"
"Oak Hill Elementary","Caldwell County Schools","D - 52","D","52","Met","45.7","57","35.77602386","-81.75662231"
"Oak Hill Elementary","Guilford County Schools","C - 57","C","57","Met","49.8","100","35.77602386","-81.75662231"
"Ray Childers Elementary","Burke County Schools","B - 76","B","76","Met","73.9","73","35.75047302","-81.42862701"
"Robert L. Patton High School","Burke County Schools","B - 73","B","73","Met","56.2","48","35.70165634","-81.66938782"
"Rutherford College Elem","Burke County Schools","B - 84","B","84","Met","83.2","53","35.75454700","-81.52348300"
"Salem Elementary","Burke County Schools","B - 72","B","72","Met","69.1","57","35.69450700","-81.70175900"
"Salem Elementary","Wake County Schools","B - 70","B","70","NotMet","72.9","26","35.69450700","-81.70175900"
"Table Rock Middle","Burke County Schools","C - 66","C","66","Exceeded","61.4","63","35.75374222","-81.76968384"
"Valdese Elementary","Burke County Schools","B - 72","B","72","Met","70.0","56","35.74227378","-81.56616054"
"W A Young Elementary","Burke County Schools","C - 61","C","61","Exceeded","53.6","72","35.71874619","-81.76640320"
"Walter R Johnson Middle","Burke County Schools","C - 64","C","64","Met","60.1","73","35.77965100","-81.69202400"
"New Dimensions","Charter Schools","C - 67","C","67","Exceeded","62.1","27","35.76855540","-81.69171542"
"A T Allen Elementary","Cabarrus County Schools","C - 58","C","58","NotMet","56.5","66","35.36270500","-80.51366400"
"Cox Mill High School","Cabarrus County Schools","B - 78","B","78","Met","70.8","20","35.36270500","-80.51366400"
"Bethel Elementary","Cabarrus County Schools","C - 56","C","56","Met","51.5","39","35.24195480","-80.53324127"
"Bethel Elementary","Haywood County Schools","B - 76","B","76","NotMet","80.1","56","35.24195480","-80.53324127"
"Bethel Elementary","Pitt County Schools","C - 55","C","55","Exceeded","45.8","64","35.24195480","-80.53324127"
"Bethel Elementary","Watauga County Schools","C - 62","C","62","Exceeded","56.0","59","35.24195480","-80.53324127"
"Beverly Hills Elementary","Cabarrus County Schools","C - 64","C","64","Met","59.3","68","35.43209400","-80.59631300"
"Central Cabarrus High","Cabarrus County Schools","C - 69","C","69","Met","53.7","51","35.36787361","-80.57645090"
"Coltrane-Webb Elementary","Cabarrus County Schools","C - 63","C","63","NotMet","62.9","52","35.41114435","-80.58480062"
