school_name_value,school_system_value,schoolgrade_value,growthstatus_value,gradelevel_value,freereduced_value
"Guy B Teachey Elementary","Asheboro City Schools","B - 70","Exceeded","65.5","62"
"Lindley Park Elementary","Asheboro City Schools","C - 59","Met","54.2","72"
"North Asheboro Middle","Asheboro City Schools","C - 62","Exceeded","53.1","87"
"Asheville High","Asheville City Schools","C - 66","NotMet","57.0","44"
"Hall Fletcher Elementary","Asheville City Schools","D - 51","NotMet","46.0","78"
"Isaac Dickson Elementary","Asheville City Schools","B - 75","Met","73.4","41"
"Claxton Elementary","Asheville City Schools","C - 64","NotMet","67.0","42"
"Ira B Jones Elementary","Asheville City Schools","B - 71","Met","68.0","40"
"Asheville Middle","Asheville City Schools","C - 62","NotMet","62.7","52"
"Vance Elementary","Asheville City Schools","B - 75","Met","75.2","49"
"School of Inquiry and Life Sciences","Asheville City Schools","A - 87","Exceeded","81.6","26"
"Avery County High","Avery County Schools","B - 70","NotMet","51.2","54"
"Banner Elk Elementary","Avery County Schools","C - 64","Met","60.0","49"
"Cranberry Middle","Avery County Schools","B - 80","Exceeded","77.0","67"
"Crossnore Elementary","Avery County Schools","B - 83","Exceeded","80.4","52"
"Avery Middle","Avery County Schools","C - 64","Exceeded","58.0","62"
"Freedom Trail Elementary","Avery County Schools","C - 68","Exceeded","62.9","76"
"Newland Elementary","Avery County Schools","C - 61","Met","55.8","72"
"Riverside Elementary","Avery County Schools","C - 61","Met","55.8","69"
"Blue Ridge Academy","Avery County Schools","NA - NA","NA","11.8","76"
"Avery High STEM Academy","Avery County Schools","B - 80","NotMet","78.8","40"
"Avery High Viking Academy","Avery County Schools","F - 32","NotMet","23.0","60"
"Eastern Elementary","Beaufort County Schools","I - NA","NA","NA","80"
"Bath Elementary","Beaufort County Schools","C - 65","NotMet","66.8","40"
"B C Ed Tech Center","Beaufort County Schools","NA - NA","NA","<5","100"
"Beaufort Co Early College High","Beaufort County Schools","A - 93","Met","94.0","49"
"Chocowinity Middle","Beaufort County Schools","C - 59","NotMet","57.5","73"
"Chocowinity Primary","Beaufort County Schools","B - 81","Met","81.6","78"
"John C Tayloe Elementary","Beaufort County Schools","C - 62","Exceeded","55.7","76"
"John Small Elementary","Beaufort County Schools","D - 49","NotMet","46.7","70"
"Northeast Elementary","Beaufort County Schools","C - 56","Exceeded","48.8","73"
"Northside High","Beaufort County Schools","C - 62","NotMet","47.2","52"
"P S Jones Middle","Beaufort County Schools","D - 54","Exceeded","44.7","71"
"Southside High","Beaufort County Schools","C - 62","Met","42.1","71"
"S W Snowden Elementary","Beaufort County Schools","F - 38","Met","29.4","99"
"Washington High","Beaufort County Schools","C - 57","NotMet","39.1","58"
"Bertie Early College High","Bertie County Schools","B - 80","Met","76.4","59"
"Bertie High","Bertie County Schools","D - 47","Met","21.3","74"
"Bertie Middle","Bertie County Schools","D - 44","Met","36.0","79"
"Aulander Elementary","Bertie County Schools","D - 47","Met","38.6","93"
"West Bertie Elementary","Bertie County Schools","D - 46","Met","38.0","96"
"Colerain Elementary","Bertie County Schools","D - 44","Met","37.4","98"
"Windsor Elementary","Bertie County Schools","D - 50","Met","43.6","93"
"Bertie Academy","Bertie County Schools","NA - NA","NA","<5","34"
"Bertie STEM High","Bertie County Schools","A - 86","Met","78.7","53"
"B T Washington Primary","Bladen County Schools","D - 45","NotMet","40.1","83"
"Bladenboro Middle","Bladen County Schools","D - 43","NotMet","36.7","53"
"Bladenboro Primary","Bladen County Schools","C - 60","Met","57.5","68"
"Bladen Lakes Primary","Bladen County Schools","D - 54","Met","49.0","62"
"Clarkton School of Discovery","Bladen County Schools","C - 58","NotMet","57.0","38"
"Dublin Primary","Bladen County Schools","C - 66","Met","62.7","62"
"East Arcadia Elementary","Bladen County Schools","D - 43","Met","33.2","57"
"East Bladen High","Bladen County Schools","D - 51","NotMet","31.8","46"
"Elizabethtown Middle","Bladen County Schools","F - 31","NotMet","26.2","65"
"Elizabethtown Primary","Bladen County Schools","D - 51","Met","43.4","80"
"Plain View Primary","Bladen County Schools","D - 48","NotMet","43.0","78"
"Tar Heel Middle","Bladen County Schools","D - 45","Met","37.6","55"
"West Bladen High","Bladen County Schools","C - 55","NotMet","35.8","41"
"Belville Elementary","Brunswick County Schools","C - 61","NotMet","59.3","91"
"Bolivia Elementary","Brunswick County Schools","C - 59","NotMet","60.2","100"
"Brunswick County Early College","Brunswick County Schools","A - 95","Exceeded","94.1","42"
"Brunswick County Academy","Brunswick County Schools","NA - NA","NA","10.3","100"
"Cedar Grove Middle","Brunswick County Schools","D - 54","Met","48.6","100"
"Jessie Mae Monroe Elementary","Brunswick County Schools","D - 46","NotMet","42.3","100"
"Leland Middle","Brunswick County Schools","C - 55","Met","48.9","100"
"Lincoln Elementary","Brunswick County Schools","C - 58","Exceeded","50.0","100"
"North Brunswick High","Brunswick County Schools","C - 63","Met","44.0","59"
"Shallotte Middle","Brunswick County Schools","C - 60","Met","56.5","100"
"South Brunswick High","Brunswick County Schools","B - 74","Exceeded","60.5","47"
"South Brunswick Middle","Brunswick County Schools","C - 61","Met","55.2","85"
"Southport Elementary","Brunswick County Schools","C - 58","NotMet","57.6","90"
"Supply Elementary","Brunswick County Schools","D - 47","NotMet","44.3","100"
"Town Creek Elementary","Brunswick County Schools","C - 55","NotMet","53.2","95"
"Union Elementary","Brunswick County Schools","B - 75","Exceeded","71.8","99"
"Virginia Williamson Elem","Brunswick County Schools","C - 63","Met","58.6","100"
"Waccamaw","Brunswick County Schools","C - 64","Exceeded","58.7","100"
"West Brunswick High","Brunswick County Schools","B - 74","Exceeded","59.8","54"
"Community High School","Buncombe County Schools","NA - NA","NA","14.3","87"
"Reynolds High","Buncombe County Schools","B - 77","Met","67.0","41"
"Reynolds Middle","Buncombe County Schools","C - 66","Exceeded","60.2","60"
"Barnardsville Elementary","Buncombe County Schools","C - 67","Met","64.6","70"
"Black Mountain Elementary","Buncombe County Schools","C - 62","NotMet","62.9","49"
"Black Mountain Primary","Buncombe County Schools","B - 70","Met","66.8","54"
"Early College","Buncombe County Schools","A - 91","Met","90.7","46"
"Middle College","Buncombe County Schools","B - 74","NA","33.3","49"
"Candler Elementary","Buncombe County Schools","C - 59","NotMet","56.5","65"
"Cane Creek Middle","Buncombe County Schools","B - 77","Exceeded","74.6","40"
"Bell Elementary","Buncombe County Schools","B - 73","Met","71.6","58"
"Owen High","Buncombe County Schools","C - 67","NotMet","54.9","46"
"Owen Middle","Buncombe County Schools","C - 60","Met","55.0","64"
"Erwin High","Buncombe County Schools","C - 62","Met","46.0","62"
"Erwin Middle","Buncombe County Schools","D - 52","NotMet","49.1","70"
"Emma Elementary","Buncombe County Schools","D - 51","Exceeded","42.3","87"
"Enka High","Buncombe County Schools","C - 63","NotMet","53.7","52"
"Fairview Elementary","Buncombe County Schools","B - 70","Met","66.6","47"
"Glen Arden Elementary","Buncombe County Schools","B - 76","Met","76.3","34"
"Haw Creek Elementary","Buncombe County Schools","B - 70","Met","67.2","50"
"Hominy Valley Elementary","Buncombe County Schools","B - 73","Met","70.1","46"
"Johnston Elementary","Buncombe County Schools","D - 46","Met","38.3","98"
"Leicester Elementary","Buncombe County Schools","C - 61","Met","57.1","69"
"North Buncombe Elementary","Buncombe County Schools","C - 65","Met","59.4","60"
"North Buncombe High","Buncombe County Schools","B - 75","Met","62.3","39"
"North Buncombe Middle","Buncombe County Schools","C - 66","NotMet","65.6","50"
"North Windy Ridge Intermediate","Buncombe County Schools","C - 67","Met","63.2","54"
"Oakley Elementary","Buncombe County Schools","C - 56","Met","49.9","77"
"Pisgah Elementary","Buncombe County Schools","B - 80","Met","80.2","68"
"Enka Middle","Buncombe County Schools","C - 58","NotMet","57.7","64"
"Sand Hill-Venable Elem","Buncombe County Schools","C - 58","NotMet","57.4","73"
"Avery's Creek Elementary","Buncombe County Schools","C - 61","Met","56.8","65"
"Williams Elementary","Buncombe County Schools","C - 66","Met","63.0","73"
"Roberson High","Buncombe County Schools","B - 73","NotMet","66.2","38"
"Valley Springs Middle","Buncombe County Schools","B - 74","Exceeded","68.1","51"
"Estes Elementary","Buncombe County Schools","B - 71","Met","70.7","52"
"Weaverville Elementary","Buncombe County Schools","B - 70","Met","68.6","49"
"Weaverville Primary","Buncombe County Schools","I - NA","NA","NA","46"
"West Buncombe Elementary","Buncombe County Schools","B - 71","Exceeded","67.0","68"
"Woodfin Elementary","Buncombe County Schools","C - 68","Met","64.5","92"
"Koontz Intermediate","Buncombe County Schools","C - 63","NotMet","62.5","49"
"Eblen Intermediate","Buncombe County Schools","C - 56","Met","52.0","75"
"Nesbitt Discovery Academy","Buncombe County Schools","A - 94","Met",">95","28"
"Chesterfield Elementary","Burke County Schools","C - 57","Met","52.9","88"
"Hallyburton Academy","Burke County Schools","NA - NA","NA","19.2","89"
"Burke Middle College","Burke County Schools","A - 99","NA","NA","39"
"Drexel Elementary","Burke County Schools","C - 63","Exceeded","56.8","67"
"East Burke High","Burke County Schools","C - 64","NotMet","53.5","56"
"East Burke Middle","Burke County Schools","B - 70","Met","67.4","59"
"Forest Hill Elementary","Burke County Schools","C - 68","Met","64.8","65"
"Freedom High","Burke County Schools","C - 68","Met","58.3","58"
"George Hildebrand Elementary","Burke County Schools","C - 63","Met","58.3","70"
"Glen Alpine Elementary","Burke County Schools","B - 70","Met","67.0","73"
"Heritage Middle","Burke County Schools","B - 71","Exceeded","66.0","54"
"Hildebran Elementary","Burke County Schools","B - 73","Met","70.2","65"
"Mountain Crest Elementary","Burke County Schools","C - 57","Exceeded","48.2","98"
"Icard Elementary","Burke County Schools","C - 69","Exceeded","63.6","70"
"Jimmy C Draughn High School","Burke County Schools","B - 73","NotMet","65.0","47"
"Liberty Middle","Burke County Schools","C - 66","Met","65.1","50"
"North Liberty","Burke County Schools","NA - NA","NA","48.0","69"
"Mull Elementary","Burke County Schools","C - 67","Exceeded","61.0","67"
"Oak Hill Elementary","Burke County Schools","C - 65","Exceeded","58.2","59"
"Ray Childers Elementary","Burke County Schools","B - 76","Met","73.9","73"
"Robert L. Patton High School","Burke County Schools","B - 73","Met","56.2","48"
"Rutherford College Elem","Burke County Schools","B - 84","Met","83.2","53"
"Salem Elementary","Burke County Schools","B - 72","Met","69.1","57"
"Table Rock Middle","Burke County Schools","C - 66","Exceeded","61.4","63"
"Valdese Elementary","Burke County Schools","B - 72","Met","70.0","56"
"W A Young Elementary","Burke County Schools","C - 61","Exceeded","53.6","72"
"Walter R Johnson Middle","Burke County Schools","C - 64","Met","60.1","73"
"A T Allen Elementary","Cabarrus County Schools","C - 58","NotMet","56.5","66"
"Cox Mill High School","Cabarrus County Schools","B - 78","Met","70.8","20"
"Bethel Elementary","Cabarrus County Schools","C - 56","Met","51.5","39"
"Beverly Hills Elementary","Cabarrus County Schools","C - 64","Met","59.3","68"
"Central Cabarrus High","Cabarrus County Schools","C - 69","Met","53.7","51"
"Coltrane-Webb Elementary","Cabarrus County Schools","C - 63","NotMet","62.9","52"
"Harrisburg Elementary","Cabarrus County Schools","B - 78","Met","79.3","12"
"Concord Middle","Cabarrus County Schools","F - 38","NotMet","33.4","72"
"Concord High","Cabarrus County Schools","C - 59","NotMet","46.4","52"
"J N Fries Magnet School","Cabarrus County Schools","A+ - 91","Exceeded","92.6","21"
"Jay M Robinson High","Cabarrus County Schools","C - 69","Met","53.1","42"
"Cabarrus Co Opportunity School","Cabarrus County Schools","NA - NA","NA","NA","73"
"C C Griffin Middle","Cabarrus County Schools","C - 55","Exceeded","45.8","61"
"Cox Mill Elementary","Cabarrus County Schools","B - 84","Exceeded","82.7","8"
"Harris Road Middle","Cabarrus County Schools","B - 81","Exceeded","76.5","18"
"Carl A Furr Elementary","Cabarrus County Schools","C - 60","NotMet","58.0","50"
"Mount Pleasant Elementary","Cabarrus County Schools","C - 69","Exceeded","63.6","40"
"Mount Pleasant Middle","Cabarrus County Schools","C - 68","Exceeded","62.1","43"
"Mount Pleasant High","Cabarrus County Schools","C - 68","Met","56.8","38"
"Charles E Boger Elementary","Cabarrus County Schools","B - 71","Met","68.6","36"
"Northwest Cabarrus High","Cabarrus County Schools","B - 72","Met","56.6","46"
"Northwest Cabarrus Middle","Cabarrus County Schools","C - 61","Exceeded","54.0","52"
"Royal Oaks Elementary","Cabarrus County Schools","D - 40","NotMet","33.1","98"
"Rocky River Elementary","Cabarrus County Schools","D - 50","NotMet","46.3","65"
"R Brown McAllister Elementary","Cabarrus County Schools","C - 56","NotMet","52.7","51"
"Pitts School Road Elementary","Cabarrus County Schools","B - 72","Met","69.2","32"
"Hickory Ridge High","Cabarrus County Schools","B - 83","Exceeded","74.8","19"
"Performance Learning Center","Cabarrus County Schools","C - 67","Met","40.2","49"
"W R Odell Elementary","Cabarrus County Schools","B - 78","Met","76.4","21"
"Weddington Hills Elementary","Cabarrus County Schools","C - 66","Exceeded","61.0","66"
"Winecoff Elementary","Cabarrus County Schools","D - 48","NotMet","45.2","72"
"W M Irvin Elementary","Cabarrus County Schools","D - 50","NotMet","45.9","70"
"Wolf Meadow Elementary","Cabarrus County Schools","C - 59","Exceeded","52.8","100"
"Patriots Elementary","Cabarrus County Schools","B - 79","Exceeded","74.5","33"
"Hickory Ridge Middle","Cabarrus County Schools","B - 72","Exceeded","67.6","21"
"Cabarrus-Kannapolis Early Coll","Cabarrus County Schools","A - 89","Met","84.4","45"
"Harold E. Winkler Middle","Cabarrus County Schools","C - 59","Exceeded","51.9","51"
"Baton Elementary","Caldwell County Schools","C - 61","NotMet","59.2","69"
"Caldwell Career Cen Mid. Coll.","Caldwell County Schools","B - 81","Met","73.6","39"
"Gateway School","Caldwell County Schools","NA - NA","NA","21.3","87"
"Horizons Elementary","Caldwell County Schools","NA - NA","NA","17.9","84"
"Collettsville School","Caldwell County Schools","B - 70","Met","69.4","62"
"Caldwell Early College","Caldwell County Schools","A+ - 90","Met","86.7","19"
"Davenport A+ School","Caldwell County Schools","C - 67","Exceeded","60.7","68"
"Dudley Shoals Elementary","Caldwell County Schools","B - 70","Exceeded","64.2","54"
"Gamewell Elementary","Caldwell County Schools","C - 57","Met","51.3","71"
"Gamewell Middle","Caldwell County Schools","D - 51","Met","45.4","79"
"Granite Falls Middle","Caldwell County Schools","C - 65","Met","62.8","48"
"Granite Falls Elementary","Caldwell County Schools","B - 72","Met","68.9","50"
"Happy Valley Elementary","Caldwell County Schools","C - 63","Met","58.2","62"
"Hibriten High","Caldwell County Schools","C - 66","NotMet","48.4","50"
"Hudson Elementary","Caldwell County Schools","C - 64","Met","59.1","58"
"Hudson Middle","Caldwell County Schools","C - 61","Met","58.0","55"
"Kings Creek Elementary","Caldwell County Schools","C - 60","Met","57.7","68"
"William Lenoir Middle","Caldwell County Schools","C - 67","Exceeded","59.7","61"
"Lower Creek Elementary","Caldwell County Schools","B - 70","Met","66.9","43"
"Oak Hill Elementary","Caldwell County Schools","D - 52","Met","45.7","57"
"Sawmills Elementary","Caldwell County Schools","C - 56","NotMet","54.1","56"
"South Caldwell High","Caldwell County Schools","C - 65","NotMet","54.5","36"
"Valmead Elementary","Caldwell County Schools","D - 53","Met","46.1","91"
"West Caldwell High","Caldwell County Schools","C - 63","NotMet","46.5","62"
"West Lenoir Elementary","Caldwell County Schools","D - 44","Met","34.8","98"
"Whitnel Elementary","Caldwell County Schools","C - 56","Met","49.5","80"
"Camden County High","Camden County Schools","B - 75","Met","66.0","28"
"Grandy Primary","Camden County Schools","B - 83","Exceeded","82.0","40"
"Camden Intermediate","Camden County Schools","C - 69","Met","67.5","35"
"Camden Middle","Camden County Schools","C - 61","NotMet","59.9","33"
"CamTech High","Camden County Schools","B - 79","Met","62.3","31"
"Atlantic Elementary","Carteret County Public Schools","B - 71","Met","70.0","57"
"Bogue Sound Elementary","Carteret County Public Schools","C - 67","Met","63.0","57"
"Beaufort Elementary","Carteret County Public Schools","B - 72","Met","69.2","70"
"Bridges School","Carteret County Public Schools","NA - NA","NA","11.9","78"
"Beaufort Middle","Carteret County Public Schools","C - 60","Met","57.5","56"
"Broad Creek Middle","Carteret County Public Schools","C - 68","NotMet","68.6","31"
"East Carteret High","Carteret County Public Schools","B - 75","Exceeded","63.5","41"
"Croatan High","Carteret County Public Schools","A+ - 90","Exceeded","82.5","26"
"Harkers Island Elementary","Carteret County Public Schools","B - 73","Met","70.9","59"
"Morehead Elem at Camp Glenn","Carteret County Public Schools","C - 58","NotMet","55.9","53"
"Morehead City Middle","Carteret County Public Schools","B - 70","Exceeded","66.2","36"
"Morehead City Primary","Carteret County Public Schools","C - 69","Met","65.9","56"
"Newport Elementary","Carteret County Public Schools","B - 80","Exceeded","78.5","63"
"Newport Middle","Carteret County Public Schools","C - 63","Met","58.7","55"
"Smyrna Elementary","Carteret County Public Schools","B - 72","Exceeded","68.9","58"
"West Carteret High","Carteret County Public Schools","A+ - 85","Exceeded","75.2","41"
"White Oak Elementary","Carteret County Public Schools","B - 78","Exceeded","74.3","31"
"Bartlett Yancey High","Caswell County Schools","D - 53","NotMet","35.4","57"
"North Elementary","Caswell County Schools","C - 64","Met","59.8","87"
"N L Dillard Middle","Caswell County Schools","D - 45","NotMet","40.8","65"
"Oakwood Elementary","Caswell County Schools","D - 42","NotMet","37.4","100"
"South Elementary","Caswell County Schools","C - 59","Exceeded","51.5","82"
"Stoney Creek Elementary","Caswell County Schools","C - 63","Met","59.0","97"
"Harry M Arndt Middle","Catawba County Schools","C - 68","Exceeded","59.8","59"
"Balls Creek Elementary","Catawba County Schools","B - 71","Exceeded","66.5","53"
"Bandys High","Catawba County Schools","B - 76","Met","64.8","32"
"Banoak Elementary","Catawba County Schools","C - 69","Exceeded","64.8","62"
"Blackburn Elementary","Catawba County Schools","C - 66","Met","63.8","52"
"Bunker Hill High","Catawba County Schools","C - 64","Met","47.3","58"
"Catawba Rosenwald Education Center","Catawba County Schools","NA - NA","NA","6.8","80"
"Catawba Elementary School","Catawba County Schools","C - 57","Met","52.2","64"
"Challenger Early College High","Catawba County Schools","A+ - 97","Exceeded","94.8","46"
"Charles H Tuttle Elementary","Catawba County Schools","B - 70","Met","66.7","44"
"Claremont Elementary","Catawba County Schools","C - 57","Exceeded","50.3","58"
"Clyde Campbell Elementary","Catawba County Schools","C - 66","Met","62.0","40"
"Fred T Foard High","Catawba County Schools","B - 74","Met","60.8","36"
"Jacobs Fork Middle","Catawba County Schools","C - 63","NotMet","62.3","42"
"Lyle Creek Elementary","Catawba County Schools","C - 56","Exceeded","48.7","69"
"Maiden Elementary","Catawba County Schools","C - 55","Met","50.2","59"
"Maiden Middle School","Catawba County Schools","C - 63","Met","59.5","46"
"Maiden High","Catawba County Schools","B - 73","Exceeded","60.0","48"
"Mill Creek Middle","Catawba County Schools","C - 64","Met","62.1","39"
"Mountain View Elementary","Catawba County Schools","B - 74","Exceeded","70.1","43"
"Oxford Elementary","Catawba County Schools","C - 65","Exceeded","57.3","60"
"River Bend Middle","Catawba County Schools","D - 53","NotMet","49.2","62"
"Sherrills Ford Elementary","Catawba County Schools","B - 77","Exceeded","73.9","29"
"Saint Stephens Elementary","Catawba County Schools","D - 50","Met","41.6","85"
"Saint Stephens High","Catawba County Schools","B - 72","Met","58.3","46"
"Snow Creek Elementary","Catawba County Schools","B - 70","Exceeded","64.9","44"
"Startown Elementary","Catawba County Schools","C - 67","Exceeded","62.2","46"
"Webb A Murray Elementary","Catawba County Schools","C - 63","Exceeded","56.1","68"
"Northside Elementary","Chapel Hill-Carrboro Schools","C - 65","NotMet","66.4","40"
"Carrboro Elementary","Chapel Hill-Carrboro Schools","C - 68","NotMet","67.5","37"
"Carrboro High","Chapel Hill-Carrboro Schools","A+ - 87","Exceeded","79.5","21"
"Chapel Hill High","Chapel Hill-Carrboro Schools","A - 85","Exceeded","77.0","22"
"McDougle Middle","Chapel Hill-Carrboro Schools","B - 80","Exceeded","77.4","27"
"Seawell Elementary","Chapel Hill-Carrboro Schools","B - 80","Met","79.7","25"
"Ephesus Elementary","Chapel Hill-Carrboro Schools","B - 78","Met","77.5","30"
"Estes Hills Elementary","Chapel Hill-Carrboro Schools","B - 72","NotMet","73.5","28"
"East Chapel Hill High","Chapel Hill-Carrboro Schools","A+ - 90","Exceeded","82.5","21"
"FPG Elementary","Chapel Hill-Carrboro Schools","C - 65","Met","60.4","48"
"Glenwood Elementary","Chapel Hill-Carrboro Schools","A+ - 86","Exceeded","85.5","27"
"Culbreth Middle","Chapel Hill-Carrboro Schools","B - 75","Met","75.0","24"
"Phillips Middle","Chapel Hill-Carrboro Schools","B - 76","NotMet","78.2","26"
"McDougle Elementary","Chapel Hill-Carrboro Schools","B - 77","Met","76.3","30"
"UNC Hospital School","Chapel Hill-Carrboro Schools","I - NA","NA","NA","0"
"Scroggs Elementary","Chapel Hill-Carrboro Schools","B - 80","Met","79.4","27"
"Morris Grove Elementary","Chapel Hill-Carrboro Schools","B - 77","NotMet","80.4","24"
"Rashkis Elementary","Chapel Hill-Carrboro Schools","B - 78","Met","78.1","31"
"Smith Middle","Chapel Hill-Carrboro Schools","B - 80","Met","79.2","26"
"Phoenix Academy High","Chapel Hill-Carrboro Schools","NA - NA","NA","18.2","79"
"Albemarle Road Elementary","Charlotte-Mecklenburg Schools","D - 47","Exceeded","36.2","93"
"Albemarle Road Middle","Charlotte-Mecklenburg Schools","D - 50","Exceeded","39.5","88"
"Ardrey Kell High","Charlotte-Mecklenburg Schools","A - 93","Exceeded","89.0","11"
"J M Alexander Middle","Charlotte-Mecklenburg Schools","C - 57","NotMet","58.5","43"
"Allenbrook Elementary","Charlotte-Mecklenburg Schools","D - 46","NotMet","44.5","96"
"Ashley Park PreK-8 School","Charlotte-Mecklenburg Schools","F - 33","NotMet","27.6","95"
"William Amos Hough High","Charlotte-Mecklenburg Schools","A+ - 89","Exceeded","81.4","17"
"Bailey Middle","Charlotte-Mecklenburg Schools","B - 82","Exceeded","79.7","20"
"Bain Elementary","Charlotte-Mecklenburg Schools","A - 87","Exceeded","86.4","24"
"Barringer Academic Center","Charlotte-Mecklenburg Schools","C - 60","Met","57.9","57"
"Whitewater Middle","Charlotte-Mecklenburg Schools","D - 47","Exceeded","35.3","87"
"Whitewater Academy","Charlotte-Mecklenburg Schools","D - 54","Met","47.2","86"
"Berryhill School","Charlotte-Mecklenburg Schools","C - 59","Exceeded","51.3","91"
